year,Complex,Physical,Conflict,Displacement,COVID,amountUSD_defl
2019,0,0,0,0,0,79515345.9137545
2020,0,0,0,1,0,3269545139
2021,0,0,0,1,0,2872744005.75491
2018,1,1,1,1,0,3275819165.78261
2019,1,1,1,1,0,13202447622.5202
2020,1,1,1,1,0,12596844527.308
2020,0,0,0,0,1,4160847111.5
2021,1,1,1,1,0,13481202635.7093
2021,0,0,0,0,1,833018564.993208
2021,1,1,0,0,0,1054345350.78805
2018,0,0,0,0,0,540040928.326958
2020,0,1,0,0,0,69766786.2857143
2020,0,0,0,0,0,101350803
2021,0,0,0,0,0,119863526.099604
2019,0,0,0,1,0,2352935429.37972
2020,1,0,1,0,0,232846346.980952
2021,1,0,1,0,0,157956225.214956
2018,1,1,0,1,0,211922596.432493
2019,1,1,0,1,0,1886983638.16666
2020,1,1,0,1,0,993467089.05
2021,1,1,0,1,0,672409254.489413
2021,0,1,0,0,0,113301116.103579
2018,0,0,1,0,0,1280162983.43177
2019,0,0,1,0,0,645656654.634567
2020,1,1,1,0,0,338621593.322727
2018,0,0,0,1,0,3938316938.37588
2019,0,1,0,0,0,133065587.190859
2018,0,1,0,0,0,255390988.494576
2019,1,0,0,1,0,864019384.818505
2020,1,0,0,1,0,146609478.833333
2021,1,0,0,1,0,365910391.509063
2018,1,0,1,1,0,12292853234.7929
2021,1,0,1,1,0,2045580294.9238
2019,1,0,0,0,0,5026187.19603019
2020,1,0,0,0,0,15147031
2021,1,0,0,0,0,37670169.0571868
2019,1,0,1,1,0,3308981353.94703
2019,1,1,1,0,0,201466163.966674
2020,1,1,0,0,0,182491951
2019,0,0,0,0,1,46452458.3396831
2018,0,1,1,0,0,105889244.827137
2021,1,1,1,0,0,645281347.526767
2019,1,0,1,0,0,246772692.719548
2020,0,1,0,1,0,15124499
2020,1,0,1,1,0,1678206176.66667
2019,1,1,0,0,0,272487084.981513
2018,1,1,1,0,0,946422953.430381
2020,0,0,1,0,0,481871030.666667
2021,0,0,1,0,0,565371310.196531
2018,0,0,1,1,0,63722144.294289
